stop_id,stop_name,stop_lat,stop_lon,rail_light_daily_trips,rail_subway_daily_trips,bus_daily_trips,rail_commuter_daily_trips,rail_total_daily_trips,prelim_sb79_tier
bus:1,Paramount / Slauson,33.973248,-118.113113,0,0,20,0,0,ineligible
bus:3,Jefferson / 10th,34.025471,-118.328402,0,0,35,0,0,ineligible
bus:6,120th / Augustus F Hawkins,33.924696,-118.242222,0,0,237,0,0,tier2
bus:7,120th / Martin Luther King Hospital,33.924505,-118.240369,0,0,146,0,0,tier2
bus:12,15054 Sherman Way,34.201075,-118.461953,0,0,71,0,0,tier2
bus:16,Riverside / Los Feliz,34.116932,-118.271486,0,0,21,0,0,ineligible
bus:18,1st / Eastern,34.036881,-118.173232,0,0,53,0,0,tier2
bus:19,Indiana / Olympic,34.018999,-118.192361,0,0,27,0,0,ineligible
bus:25,226th / Norwalk,33.823987,-118.072255,0,0,47,0,0,ineligible
bus:29,2nd / Santa Monica,34.015028,-118.497346,0,0,81,0,0,tier2
bus:31,3rd / Gardner,34.07024,-118.353264,0,0,160,0,0,tier2
bus:33,Balboa / Foothill West Jog,34.322084,-118.495243,0,0,15,0,0,ineligible
bus:38,5th / Colorado,34.013884,-118.490199,0,0,289,0,0,tier2
bus:40,Hill / 5th,34.048591,-118.251764,0,0,300,0,0,tier2
bus:42,6th / Burlington,34.057874,-118.270776,0,0,130,0,0,tier2
bus:47,7th / Maclay,34.29398,-118.427206,0,0,46,0,0,ineligible
bus:49,7th / Patton,33.737857,-118.305722,0,0,34,0,0,ineligible
bus:55,Adams / Fairfax,34.032361,-118.370491,0,0,77,0,0,tier2
bus:56,Adams / Vermont,34.032672,-118.291204,0,0,77,0,0,tier2
bus:57,California Yacht Club,33.983634,-118.445893,0,0,23,0,0,ineligible
bus:59,Admiralty / Marina City,33.985213,-118.452716,0,0,23,0,0,ineligible
bus:60,Admiralty / Bali,33.981822,-118.441618,0,0,23,0,0,ineligible
bus:62,Admiralty / Palawan,33.983291,-118.45741,0,0,23,0,0,ineligible
bus:63,Agoura / La Venta,34.14895,-118.822087,0,0,17,0,0,ineligible
bus:65,Agoura / Lost Hills,34.13941,-118.708608,0,0,17,0,0,ineligible
bus:68,Fletcher / Estara,34.118151,-118.240922,0,0,35,0,0,ineligible
bus:69,Lankershim / San Fernando,34.23318,-118.387941,0,0,69,0,0,tier2
bus:70,El Monte Busway Layover,34.05449,-118.237358,0,0,15,0,0,ineligible
bus:73,Alameda / Arcadia,34.054387,-118.237945,0,0,65,0,0,tier2
bus:77,Alamo / 60th,33.983122,-118.174562,0,0,17,0,0,ineligible
bus:78,Alamo / Gage,33.977059,-118.175513,0,0,17,0,0,ineligible
bus:79,Alamo / Randolph,33.980041,-118.175021,0,0,17,0,0,ineligible
bus:85,Allen / Colorado,34.14627,-118.11301,0,0,31,0,0,ineligible
bus:86,Allen / Washington,34.169413,-118.112873,0,0,31,0,0,ineligible
bus:87,Allesandro / Baxter,34.092443,-118.25652,0,0,77,0,0,tier2
bus:88,Allesandro / Ewing,34.090867,-118.258365,0,0,74,0,0,tier2
bus:89,Allesandro / Oak Glen,34.093765,-118.25518,0,0,74,0,0,tier2
bus:90,Allesandro / Sunflower,34.098924,-118.250608,0,0,77,0,0,tier2
bus:91,Allesandro / Whitmore,34.095807,-118.253554,0,0,74,0,0,tier2
bus:92,Alondra / Clark,33.889437,-118.133777,0,0,27,0,0,ineligible
bus:93,Alondra / Stevens,33.889199,-118.130334,0,0,42,0,0,ineligible
bus:99,Olive / Olympic,34.042134,-118.259555,0,0,162,0,0,tier2
bus:102,Arbor Vitae / Bellanca,33.952556,-118.380024,0,0,88,0,0,tier2
bus:103,Arbor Vitae / Rental Car Driveway,33.952576,-118.372467,0,0,51,0,0,tier2
bus:104,Arleta / Branford,34.236151,-118.419952,0,0,29,0,0,ineligible
bus:108,Arleta / Kagel Canyon,34.245095,-118.429421,0,0,31,0,0,ineligible
bus:110,Arleta / Osborne,34.24181,-118.425943,0,0,29,0,0,ineligible
bus:111,Arleta / Pierce,34.250737,-118.435393,0,0,31,0,0,ineligible
bus:112,Arleta / Terra Bella,34.247767,-118.432251,0,0,31,0,0,ineligible
bus:115,Sherman Way / Oakdale,34.200887,-118.5668,0,0,71,0,0,tier2
bus:117,Arlington / Martin Luther King Jr,34.011005,-118.318354,0,0,16,0,0,ineligible
bus:118,5112 Arlington,33.996478,-118.318035,0,0,16,0,0,ineligible
bus:126,Arlington / 39th,34.014466,-118.318116,0,0,16,0,0,ineligible
bus:127,Arlington / 42nd,34.007395,-118.318344,0,0,16,0,0,ineligible
bus:128,Arlington / 48th,33.999897,-118.318018,0,0,16,0,0,ineligible
bus:136,Temple / Hill,34.056449,-118.244214,0,0,53,0,0,tier2
bus:138,Woodward / Garfield,34.09767,-118.128291,0,0,75,0,0,tier2
bus:139,Van Nuys / Arleta,34.254079,-118.438336,0,0,60,0,0,tier2
bus:141,Artesia / Amie,33.872706,-118.348037,0,0,34,0,0,ineligible
bus:144,Pacific Coast Highway / Artesia,33.872521,-118.395476,0,0,45,0,0,ineligible
bus:147,Artesia / Hawthorne,33.872703,-118.352026,0,0,34,0,0,ineligible
bus:148,Artesia / Prairie,33.872712,-118.344048,0,0,25,0,0,ineligible
bus:149,Artesia / Susana,33.874144,-118.206787,0,0,103,0,0,tier2
bus:150,Artesia / Yukon,33.87272,-118.335298,0,0,25,0,0,ineligible
bus:152,Chatsworth Station,34.253716,-118.598806,0,0,140,0,0,tier2
bus:157,Atlantic / 68th,33.878061,-118.185861,0,0,34,0,0,ineligible
